,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1999-03,,4.855B,501.00M,5.356B,18.19B,,6.054B,24.25B,,3.969B,1.272B,,5.241B,4.956B,,,,39.80B,,,,,,,43.90B,-25.03B,18.87B,,,,,,,,,23.08B,41.95B,81.75B,,16.79B,,16.79B,,16.79B,,,13.71B,,13.71B,,,,2.782B,33.28B,,16.28B,,16.28B,1.493B,,1.493B,,,,,12.39B,30.16B,63.44B,,10.58B,11.38B,4.003B,247.00M,,,,347.00M,18.31B,,,
1998-12,,5.375B,393.00M,5.768B,20.27B,6.51B,,26.78B,,,,,5.20B,4.611B,,,,42.36B,,,,,,,44.87B,-25.24B,19.63B,,599.00M,599.00M,23.51B,,,,,,43.74B,86.10B,,6.252B,3.125B,9.377B,5.90B,15.28B,,,13.90B,,13.90B,4.115B,4.115B,,,36.83B,,15.51B,,15.51B,1.514B,,1.514B,,,,,12.82B,29.84B,66.67B,,10.37B,10.14B,1.987B,247.00M,,,,911.00M,19.43B,,AOR,Restated
1998-09,,5.553B,316.00M,5.869B,17.68B,,5.869B,23.55B,,4.354B,1.194B,,5.548B,3.834B,,,,38.80B,,,,,,,43.78B,-24.78B,19.00B,,,,,,,,,21.91B,40.92B,79.72B,,16.48B,,16.48B,,16.48B,,,13.24B,,13.24B,,,,1.79B,31.51B,,15.24B,,15.24B,1.444B,,1.444B,,,,,12.89B,29.57B,61.08B,,10.06B,14.31B,6.638B,252.00M,,,,911.00M,18.64B,,,
1998-06,,5.084B,387.00M,5.471B,15.82B,,5.769B,21.58B,,4.352B,1.269B,,5.621B,4.334B,,,,37.01B,,,,,,,42.44B,-23.98B,18.45B,,,,,,,,,21.65B,40.10B,77.11B,,15.02B,,15.02B,,15.02B,,,13.27B,,13.27B,,,,1.756B,30.05B,,14.59B,,14.59B,1.373B,,1.373B,,,,,12.52B,28.48B,58.54B,,9.359B,13.04B,3.659B,252.00M,,,,-160.00M,18.58B,,,
1998-03,,5.495B,394.00M,5.889B,16.25B,,5.802B,22.05B,,4.104B,1.288B,,5.392B,4.24B,,,,37.57B,,,,,,,42.10B,-23.87B,18.22B,,,,,,,,,22.15B,40.37B,77.94B,,15.36B,,15.36B,,15.36B,,,12.67B,,12.67B,,,,1.969B,29.99B,,15.03B,,15.03B,1.356B,,1.356B,,,,,12.70B,29.09B,59.08B,,9.04B,11.82B,2.802B,252.00M,,,,812.00M,18.86B,,,
1997-12,,7.106B,447.00M,7.553B,18.11B,5.72B,,23.83B,,,,,5.139B,3.90B,,,,40.42B,,,,,,,42.13B,-23.79B,18.35B,,819.00M,819.00M,21.92B,,,,,,41.08B,81.50B,,5.215B,2.381B,7.596B,6.193B,13.79B,,,13.23B,,13.23B,3.445B,3.445B,,,33.51B,,13.70B,,13.70B,1.487B,,1.487B,,,,,12.99B,28.18B,61.68B,,8.853B,11.01B,86.00M,252.00M,,,,899.00M,19.82B,,AOR,Restated
1997-09,,5.926B,560.00M,6.486B,16.08B,,5.663B,21.74B,112.00M,4.498B,1.371B,,5.981B,3.982B,,,,38.19B,,,,,,,42.03B,-24.11B,17.92B,,,,,,,,,22.18B,40.10B,78.29B,,15.83B,,15.83B,,15.83B,,,12.52B,,12.52B,,,,2.241B,30.59B,,13.62B,,13.62B,1.336B,,1.336B,,,,,12.99B,27.95B,58.54B,,9.011B,14.57B,5.23B,253.00M,,1.281B,122.00M,1.403B,19.76B,,,
1997-06,,6.503B,358.00M,6.861B,16.06B,,5.725B,21.78B,87.00M,4.224B,1.602B,,5.913B,4.08B,,,,38.64B,,,,,,,42.03B,-24.38B,17.65B,,,,,,,,,22.53B,40.18B,78.82B,,16.04B,,16.04B,,16.04B,,,14.03B,,14.03B,,,,2.494B,32.56B,,11.68B,,11.68B,1.365B,,1.365B,,,,,13.11B,26.15B,58.71B,,8.543B,13.41B,3.609B,253.00M,,1.516B,248.00M,1.764B,20.11B,,,
1997-03,,5.959B,504.00M,6.463B,15.74B,,5.671B,21.41B,78.00M,4.435B,1.273B,,5.786B,3.661B,,,,37.32B,,,,,,,41.01B,-23.95B,17.06B,,,,,,,,,22.14B,39.21B,76.53B,,15.78B,,15.78B,,15.78B,,,13.24B,,13.24B,,,,2.221B,31.24B,,10.40B,,10.40B,1.453B,,1.453B,,,,,13.48B,25.34B,56.58B,,8.159B,12.19B,2.125B,253.00M,,1.545B,178.00M,1.723B,19.95B,,,
1996-12,,7.687B,450.00M,8.137B,17.45B,5.721B,,23.17B,,,,,5.87B,3.521B,,,,40.70B,,,,,,,41.89B,-24.49B,17.41B,,1.435B,1.435B,21.60B,,,,,,40.44B,81.13B,,4.767B,3.029B,7.796B,6.657B,14.45B,,,12.96B,,12.96B,3.64B,3.64B,,,34.00B,,9.872B,,9.872B,1.627B,,1.627B,,,,,14.00B,25.50B,59.50B,,8.005B,11.19B,135.00M,253.00M,168.00M,2.401B,,2.569B,21.63B,,AOR,Restated
1996-09,,6.806B,196.00M,7.002B,15.84B,,5.533B,21.38B,67.00M,5.59B,1.509B,,7.166B,3.835B,,,,39.38B,,,,,,,42.11B,-25.44B,16.68B,,,,,,,,,21.94B,38.62B,78.00B,,15.49B,,15.49B,,15.49B,,,13.46B,,13.46B,,,,2.115B,31.07B,,9.669B,,9.669B,1.795B,,1.795B,,,,,14.09B,25.56B,56.63B,,8.251B,14.41B,3.939B,253.00M,,2.504B,145.00M,2.649B,21.37B,,,
1996-06,,5.896B,481.00M,6.377B,16.25B,,5.673B,21.92B,62.00M,5.389B,1.269B,,6.72B,3.92B,,,,38.94B,,,,,,,42.81B,-26.47B,16.34B,,,,,,,,,22.20B,38.54B,77.47B,,14.88B,,14.88B,,14.88B,,,13.58B,,13.58B,,,,2.174B,30.63B,,9.478B,,9.478B,1.817B,,1.817B,,,,,14.02B,25.32B,55.95B,,8.174B,13.33B,2.699B,253.00M,,2.567B,155.00M,2.722B,21.53B,,,
1996-03,,5.953B,443.00M,6.396B,16.12B,,5.848B,21.97B,79.00M,5.228B,1.651B,,6.958B,3.532B,,,,38.85B,,,,,,,43.24B,-27.03B,16.21B,,,,,,,,,22.70B,38.91B,77.77B,,15.86B,,15.86B,,15.86B,,,12.34B,,12.34B,,,,2.134B,30.33B,,9.604B,,9.604B,1.854B,,1.854B,,,,,14.16B,25.61B,55.95B,,8.069B,12.23B,1.354B,253.00M,,2.768B,108.00M,2.876B,21.82B,,,
1995-12,,7.259B,442.00M,7.701B,17.44B,5.961B,,23.40B,,,,,6.323B,3.265B,,,,40.69B,,,,,,,43.98B,-27.40B,16.58B,,2.419B,2.419B,20.60B,,,,,,39.60B,80.29B,,4.511B,2.634B,7.145B,6.551B,13.70B,,,11.57B,,11.57B,3.469B,3.469B,,,31.65B,,10.06B,,10.06B,1.807B,,1.807B,,,,,14.35B,26.22B,57.87B,,7.741B,11.63B,41.00M,253.00M,57.00M,3.036B,,3.093B,22.42B,,AOR,Restated
1995-09,,6.44B,511.00M,6.951B,14.71B,,6.018B,20.73B,58.00M,4.975B,1.487B,,6.52B,3.443B,,,,37.64B,,,,,,,44.48B,-28.04B,16.43B,,,,,,,,,23.43B,39.86B,77.50B,,15.13B,,15.13B,,15.13B,,,11.08B,,11.08B,,,,2.807B,29.02B,,10.44B,,10.44B,1.682B,,1.682B,,,,,14.70B,26.82B,55.84B,,7.277B,12.34B,1.14B,253.00M,,3.184B,,3.184B,21.66B,,,
1995-06,,9.893B,636.00M,10.53B,14.79B,,6.321B,21.11B,418.00M,5.115B,629.00M,,6.162B,3.899B,,,,41.70B,,,,,,,45.60B,-28.76B,16.84B,,,,,,,,,23.06B,39.90B,81.60B,,15.17B,,15.17B,,15.17B,,,11.28B,,11.28B,,,,2.085B,28.53B,,11.75B,,11.75B,2.147B,,2.147B,,,,,14.33B,28.23B,56.76B,,7.448B,13.48B,,253.00M,,3.92B,,3.92B,24.85B,,,
1995-03,,9.072B,1.418B,10.49B,14.07B,,6.693B,20.76B,301.00M,5.032B,878.00M,,6.211B,3.567B,,,,41.03B,,,,,,,45.60B,-28.78B,16.82B,,,,,,,,,23.02B,39.85B,80.88B,,15.85B,,15.85B,,15.85B,,,10.11B,,10.11B,,,,1.937B,27.89B,,12.52B,,12.52B,2.004B,,2.004B,,,,,14.38B,28.90B,56.79B,,7.531B,12.98B,,255.00M,,3.579B,,3.579B,24.09B,,,
1994-12,1.24B,7.922B,2.632B,10.55B,15.18B,6.351B,,21.53B,,,,,6.334B,2.917B,,,,41.34B,,,,,,,44.82B,-28.16B,16.66B,,2.963B,2.963B,20.13B,,,,,,39.75B,81.09B,,3.778B,1.771B,5.549B,7.93B,13.48B,,,9.57B,,9.57B,3.475B,3.475B,,,29.23B,,12.55B,,12.55B,1.881B,,1.881B,,,,,14.02B,28.45B,57.68B,,8.423B,12.35B,34.00M,1.081B,0.00,2.672B,,2.672B,23.41B,,AOR,Restated
1994-09,,9.322B,1.482B,10.80B,12.08B,,6.565B,18.64B,370.00M,5.439B,1.195B,,7.004B,3.698B,,,,40.15B,,,,,,,47.43B,-31.10B,16.34B,,,,,,,,,22.58B,38.92B,79.07B,,16.56B,,16.56B,,16.56B,,,10.24B,,10.24B,,,,1.482B,28.28B,,14.08B,,14.08B,1.957B,,1.957B,,,,,12.29B,28.32B,56.60B,,8.364B,11.30B,,1.091B,,2.802B,,2.802B,22.46B,,,
1994-06,,7.381B,1.19B,8.571B,12.12B,,6.715B,18.84B,276.00M,5.331B,1.545B,,7.152B,4.334B,,,,38.90B,,,,,,,47.76B,-31.02B,16.74B,,,,,,,,,22.97B,39.71B,78.60B,,17.06B,,17.06B,,17.06B,,,10.36B,,10.36B,,,,1.21B,28.62B,,14.89B,,14.89B,1.854B,,1.854B,,,,,11.66B,28.41B,57.03B,,8.239B,10.76B,,1.091B,,2.574B,,2.574B,21.57B,,,
1994-03,,8.111B,840.00M,8.951B,11.49B,,6.426B,17.92B,99.00M,5.562B,1.729B,,7.39B,4.909B,,,,39.16B,,,,,,,48.32B,-31.04B,17.28B,,,,,,,,,23.43B,40.71B,79.87B,,18.44B,,18.44B,,18.44B,,,11.94B,,11.94B,,,,997.00M,31.38B,,14.94B,,14.94B,1.825B,,1.825B,,,,,11.16B,27.92B,59.30B,,8.154B,10.23B,,1.091B,,2.186B,,2.186B,20.57B,,,
1993-12,873.00M,5.861B,1.272B,7.133B,12.98B,6.428B,,19.41B,,,,,7.565B,5.092B,,,,39.20B,,,,,,,47.50B,-29.98B,17.52B,,3.703B,3.703B,20.69B,,,,,,41.91B,81.11B,,3.40B,1.589B,4.989B,10.44B,15.42B,,,12.10B,,12.10B,3.575B,3.575B,,,33.15B,,15.24B,,15.24B,1.803B,,1.803B,,,,,11.18B,28.22B,61.38B,,8.071B,10.01B,0.00,1.091B,,1.658B,,1.658B,19.74B,,,Restated
1993-09,,5.334B,,5.334B,,,,20.08B,,,,,8.657B,,,,6.176B,40.25B,,,,,,,51.52B,-32.74B,18.77B,,,,,,,,,25.19B,43.96B,84.22B,,17.70B,,17.70B,,17.70B,,,16.15B,,16.15B,,,,947.00M,34.80B,,15.39B,,15.39B,2.064B,,2.064B,,,,,11.86B,29.32B,64.11B,,1.091B,9.906B,,1.091B,,,,,20.10B,,,
1993-06,,6.034B,,6.034B,,,,20.17B,,,,,8.261B,,,,6.403B,40.86B,,,,,,,52.02B,-32.50B,19.52B,,,,,,,,,25.76B,45.28B,86.14B,,19.40B,,19.40B,,19.40B,,,17.15B,,17.15B,,,,1.243B,37.79B,,14.56B,,14.56B,2.132B,,2.132B,,,,,11.84B,28.54B,66.33B,,1.091B,10.14B,,1.091B,,,,,19.81B,,,
1993-03,,5.127B,,5.127B,,,,20.83B,,,,,8.219B,,,,5.57B,39.75B,,,,,,,52.96B,-31.93B,21.03B,,,,,,,,,24.94B,45.97B,85.71B,,18.06B,,18.06B,,18.06B,,,17.40B,,17.40B,,,,904.00M,36.37B,,12.40B,,12.40B,2.206B,,2.206B,,,,,7.52B,22.13B,58.49B,,,18.52B,,,,,,,27.22B,,,
1992-12,,4.446B,,4.446B,21.60B,,,21.60B,,,,,8.385B,,,,5.257B,39.69B,,,,,,,52.79B,-31.19B,21.60B,,,,,,,,,25.42B,47.01B,86.70B,,3.147B,,3.147B,,3.147B,,,16.47B,,16.47B,,,,17.12B,36.74B,,12.85B,,12.85B,2.03B,,2.03B,,,,,7.461B,22.34B,59.08B,,,19.12B,,,,,,,27.62B,,,Restated
1992-09,,4.121B,,4.121B,,,,20.00B,,,,,10.86B,,,,5.153B,40.14B,,,,,,,56.75B,-31.48B,25.26B,,,,,,,,,25.61B,50.88B,91.02B,,14.32B,,14.32B,,14.32B,,,15.50B,,15.50B,,,,1.386B,31.22B,,14.55B,,14.55B,2.607B,,2.607B,,,,,7.211B,24.37B,55.58B,,,25.33B,,,,,,,35.43B,,,
1992-06,,3.374B,,3.374B,,,,21.18B,,,,,10.59B,,,,2.996B,38.15B,,,,,,,55.79B,-28.82B,26.97B,,,,,,,,,23.93B,50.90B,89.05B,,14.76B,,14.76B,,14.76B,,,13.56B,,13.56B,,,,1.279B,29.60B,,13.74B,,13.74B,2.236B,,2.236B,,,,,6.922B,22.90B,52.50B,,,26.86B,,,,,,,36.55B,,,
1992-03,,4.823B,,4.823B,,,,20.27B,,,,,10.20B,,,,3.146B,38.44B,,,,,,,54.30B,-27.67B,26.64B,,,,,,,,,23.09B,49.72B,88.16B,,15.80B,,15.80B,,15.80B,,,13.98B,,13.98B,,,,1.303B,31.08B,,12.89B,,12.89B,2.078B,,2.078B,,,,,6.536B,21.50B,52.59B,,,26.86B,,,,,,,35.57B,,,
1991-12,,3.945B,,3.945B,,,,25.52B,,,,,9.844B,,,,1.657B,40.97B,,,,,,,55.68B,-28.10B,27.58B,,,,,,,,,23.93B,51.50B,92.47B,,3.507B,,3.507B,,3.507B,,,13.72B,,13.72B,,,,16.40B,33.62B,,13.23B,,13.23B,1.927B,,1.927B,,,,,6.685B,21.84B,55.47B,,,27.34B,,,,,,,37.01B,,,
1991-09,,3.614B,,3.614B,,,,19.48B,,,,,11.22B,,,,3.533B,37.85B,,,,,,,53.86B,-26.97B,26.88B,,,,,,,,,22.59B,49.47B,87.32B,,12.39B,,12.39B,,12.39B,,,13.69B,,13.69B,,,,834.00M,26.91B,,12.64B,,12.64B,3.265B,,3.265B,,,,,6.319B,22.22B,49.13B,,,29.54B,,,,,,,38.19B,,,
1991-06,,3.333B,,3.333B,,,,18.39B,,,,,10.16B,,,,3.635B,35.52B,,,,,,,51.55B,-25.62B,25.94B,,,,,,,,,20.12B,46.06B,81.57B,,12.37B,,12.37B,,12.37B,,,8.764B,,8.764B,,,,1.152B,22.28B,,11.99B,,11.99B,3.28B,,3.28B,,,,,6.051B,21.32B,43.61B,,,30.12B,,,,,,,37.96B,,,
1991-03,,4.965B,,4.965B,,,,18.72B,,,,,10.06B,,,,3.918B,37.66B,,,,,,,51.45B,-25.44B,26.01B,,,,,,,,,20.26B,46.27B,83.92B,,12.83B,,12.83B,,12.83B,,,8.787B,,8.787B,,,,1.41B,23.02B,,12.13B,,12.13B,3.512B,,3.512B,,,,,6.064B,21.71B,44.73B,,,30.78B,,,,,,,39.20B,,,
1990-12,,3.853B,,3.853B,,,,22.64B,,,,,10.11B,,,,2.315B,38.92B,,,,,,,53.66B,-26.42B,27.24B,,,,,,,,,21.41B,48.65B,87.57B,,3.367B,,3.367B,,3.367B,,,7.602B,,7.602B,,,,14.31B,25.28B,,11.94B,,11.94B,3.861B,,3.861B,,,,,3.656B,19.46B,44.74B,,,33.23B,,,,,,,42.83B,,,
1990-09,,3.383B,,3.383B,,,,18.52B,,,,,11.26B,,,,3.375B,36.53B,,,,,,,52.49B,-26.03B,26.46B,,,,,,,,,18.82B,45.28B,81.81B,,12.02B,,12.02B,,12.02B,,,8.577B,,8.577B,,,,1.857B,22.46B,,11.17B,,11.17B,3.904B,,3.904B,,,,,3.757B,18.83B,41.28B,,,31.51B,,,,,,,40.52B,,,
1990-06,,3.231B,,3.231B,,,,18.10B,,,,,10.09B,,,,3.521B,34.94B,,,,,,,50.42B,-24.82B,25.60B,,,,,,,,,18.42B,44.02B,78.96B,,11.82B,,11.82B,,11.82B,,,7.11B,,7.11B,,,,2.357B,21.29B,,11.01B,,11.01B,3.594B,,3.594B,,,,,3.514B,18.12B,39.41B,,,31.29B,,,,,,,39.55B,,,
1990-03,,4.292B,,4.292B,,,,17.61B,,,,,9.844B,,,,3.125B,34.87B,,,,,,,49.18B,-24.24B,24.94B,,,,,,,,,17.42B,42.36B,77.23B,,11.84B,,11.84B,,11.84B,,,7.34B,,7.34B,,,,1.953B,21.13B,,10.70B,,10.70B,3.417B,,3.417B,,,,,3.369B,17.48B,38.61B,,,30.74B,,,,,,,38.62B,,,
1989-12,,3.70B,,3.70B,,,,20.16B,,,,,9.463B,,,,2.548B,35.88B,,,,,,,48.41B,-23.47B,24.94B,,,,,,,,,16.92B,41.86B,77.73B,,3.167B,,3.167B,,3.167B,,,5.892B,,5.892B,,,,12.64B,21.70B,,10.82B,,10.82B,3.28B,,3.28B,,,,,3.42B,17.52B,39.22B,,,30.48B,,,,,,,38.51B,,,
1988-12,,6.123B,,6.123B,,,,18.10B,,,,,9.565B,,,,1.555B,35.34B,,,,,,,43.51B,-21.46B,22.05B,,,,,,,,,15.64B,37.69B,73.04B,,,,,,,,,4.862B,,4.862B,,,,12.52B,17.39B,,8.518B,,8.518B,4.623B,,4.623B,,,,,3.00B,16.14B,33.53B,,,31.19B,,,,,,,39.51B,,,
1987-12,,6.967B,,6.967B,,,,13.85B,,,,,8.645B,,,,1.559B,31.02B,,,,,,,43.00B,-20.08B,22.92B,,,,,,,,,9.746B,32.67B,63.69B,,,,,,,,,,,,,,,,13.38B,,3.858B,,3.858B,5.15B,,5.15B,,,,,3.04B,12.05B,25.42B,,,29.02B,,,,,,,38.26B,,,
1986-12,,7.257B,,7.257B,,,,10.82B,,,,,8.039B,,,,1.628B,27.75B,,,,,,,38.12B,-16.85B,21.27B,,,,,,,,,8.797B,30.06B,57.81B,,,,,,,,,,,,,,,,12.74B,,4.169B,,4.169B,4.524B,,4.524B,,,,,2.004B,10.70B,23.44B,,,27.83B,,,,,,,34.37B,,,
1985-12,,5.622B,,5.622B,,,,10.57B,,,,,8.579B,,,,1.303B,26.07B,,,,,,,34.48B,-14.80B,19.68B,,,,,,,,,6.884B,26.56B,52.63B,,,,,,,,,,,,,,,,11.43B,,3.955B,,3.955B,3.65B,,3.65B,,,,,1.606B,9.211B,20.64B,,,27.23B,,,,,,,31.99B,,,
1984-12,,4.362B,,4.362B,,,,8.111B,,,,,6.598B,,,,1.304B,20.38B,,,,,,,26.00B,-9.635B,16.36B,,,,,,,,,6.07B,22.43B,42.81B,,,,,,,,,834.00M,,834.00M,,,,8.806B,9.64B,,3.269B,,3.269B,2.057B,,2.057B,,,,,1.353B,6.679B,16.32B,,,23.49B,,,,,,,26.49B,,,
